Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
1915 1.68 0.69 1.37 1.04 -0.07 0.16 -0.94 -0.53 -0.41 -0.28 0.82 -0.51
1916 -0.26 -0.10 -0.01 -0.44 -0.22 -0.47 -1.91 -1.75 -1.03 -0.97 -1.26 -1.53
1917 -0.98 -1.21 -1.15 -1.10 -1.33 -0.75 -1.17 -1.44 -1.24 -0.67 -1.14 -1.42
1918 -1.03 -1.29 -0.48 -1.14 -0.55 0.69 0.75 0.40 0.78 0.86 0.66 1.18
1919 1.58 1.35 1.29 0.81 1.18 1.12 0.91 0.88 0.73 0.68 0.43 0.74
1920 0.30 0.51 0.65 -0.01 0.18 0.22 -0.12 -0.07 0.08 0.63 0.08 -0.41
1921 -0.25 -0.59 -1.39 0.11 -0.61 -1.46 -0.18 0.21 -0.23 -0.42 -0.90 -0.57
1922 -0.58 -0.44 -0.10 -0.10 0.75 -0.44 -0.28 -0.42 -0.36 -0.39 -0.51 -0.77
1923 -0.42 -0.63 -0.89 -0.66 -0.03 0.02 0.53 1.13 1.23 0.82 1.18 0.52
1924 0.58 0.38 0.27 0.80 -1.17 -0.76 -0.98 -0.95 -0.84 -0.56 -1.05 -0.50
1925 -0.73 -0.91 -0.94 -0.89 -0.02 0.21 1.19 1.08 0.94 1.22 1.02 1.29
1926 1.11 1.57 1.52 1.22 0.99 0.98 0.73 0.55 0.00 -0.33 -0.16 -0.34
1927 -0.13 0.13 -0.82 -0.40 -0.67 -0.34 -0.14 0.29 0.02 0.43 0.45 -0.16
1928 0.77 -0.35 -0.69 -0.61 0.13 0.26 0.21 -0.55 -0.33 -0.42 -0.17 -0.52
1929 -0.79 -0.90 -0.23 -0.25 0.60 0.18 0.07 0.17 0.34 -0.12 -0.34 0.14
1930 -0.34 -0.11 0.22 0.57 -0.16 0.62 0.88 0.70 1.33 0.48 0.80 0.90
1931 0.55 1.62 0.68 0.50 -0.19 -0.23 0.05 0.37 -0.35 0.35 0.07 -0.46
1932 -0.27 0.07 0.49 1.33 0.33 0.35 0.79 0.49 0.52 0.35 0.30 -0.27
1933 0.45 -0.22 0.03 -0.07 -0.58 -0.43 -0.53 -0.57 -0.51 -0.72 -0.79 -0.94
1934 -0.72 -0.49 -0.59 -0.50 0.10 -0.58 -0.30 0.88 0.03 -0.32 -0.63 0.10
1935 -0.40 0.18 -0.64 -0.31 -0.11 -0.11 -0.33 0.07 -0.12 -0.10 0.02 0.29
1936 0.56 0.31 0.02 -0.69 -0.01 -0.08 -0.30 0.24 -0.08 0.30 0.77 0.40
1937 -0.53 0.48 -0.01 0.21 -0.34 -0.24 0.50 -0.21 0.20 0.13 0.38 -0.13
1938 -0.39 0.03 0.21 0.03 -0.71 -1.35 -1.48 -1.13 -0.41 -1.07 -0.31 -1.01
1939 -1.06 -0.91 -1.01 -0.55 -0.03 0.26 -0.01 0.12 0.85 0.53 0.67 0.57
1940 0.69 1.11 1.39 1.12 1.12 1.42 1.04 1.53 1.04 1.05 0.77 2.32
1941 1.25 1.61 1.55 1.68 1.66 1.51 1.69 1.60 0.96 1.67 1.19 1.19
1942 1.02 0.58 0.53 0.78 -0.03 -0.63 -0.22 -0.81 -1.08 -1.10 -0.44 -1.25
1943 -0.98 -1.18 -0.86 -1.00 -0.29 0.38 -0.03 -0.24 -0.30 -0.62 -0.34 0.32
1944 0.23 -0.06 -0.29 0.39 0.25 0.33 0.63 -0.04 -0.22 0.36 0.26 -0.24
1945 -0.33 -0.55 -1.04 -0.28 -0.27 -0.71 -0.51 -1.08 -0.85 -0.60 0.02 -0.51
1946 -0.05 -0.28 -0.07 0.07 0.42 0.68 0.66 -0.07 0.71 0.66 0.05 0.40
1947 0.52 0.21 -0.21 0.24 0.27 0.10 -0.60 -0.54 -1.14 -0.31 -0.73 -0.07
1948 0.26 0.43 0.72 0.21 0.24 0.41 0.08 0.26 0.45 -0.64 -0.21 0.58
1949 0.18 0.13 -0.55 0.15 0.43 0.00 -0.06 0.08 -0.42 -0.59 -0.29 -0.91
1950 -0.74 -1.70 -1.43 -1.29 -1.22 -1.69 -1.69 -0.96 -0.95 -1.27 -1.12 -1.61
1951 -1.13 -0.69 -0.24 0.33 0.71 0.19 1.32 1.01 1.10 1.15 0.92 0.83
